PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Brodie, E. D. Jr",USA,,,,,,,,,,,,,1977,Copeia,Journal,Salamander antipredator postures,amphibians,1,US,no,1,0,0,,no,0,0,0,,no,0,0,1,Robinson 1969,1,0,0,no,0,0,0,no,no,0,0,yes,This behavior also has a component of the flash display seen in many insects in that it starts and stops suddenly exhibiting widely dissimilar shapes and colors thereby disorienting pursuing predators,Robinson 1969,b,"Flash behavior, flipping or protean behavior often precede immobility in salamanders. This sudden change of shape, position and location startles, confuses and misdirects the predator and facilitates avoiding subsequent detection by the predator.",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brooke, M. de L.",UK,,,,,,,,,,,,,1998,Functional Ecology,Journal,Ecological factors influencing the occurrence of 'flash marks' in wading birds,birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,1,0,0,no,no,0,0,yes,"""patches of white on the plumage that are typically conspicuous when the bird flies. These patches occur, in various permutations in different species, on the wing (primaries, secondaries, coverts), back, rump and tail.""",no,t,""" Flash marks are possessed by a wide variety of vertebrates and invertebrates where they are supposed to frighten or confuse predators. Another explanation of flash marks is that they deflect attack away from the most vulnerable parts of the prey’s body to less essential parts""","Cott 1940, Edmunds 1974",b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brown, J. L.",USA,"Twomey, E.",,,,,,,,,,,,2009,Zootaxa,Journal,Complicated histories: Three new species of poison frogs of the genus Ameerega (Anura: Dendrobatidae) from North-Central Peru,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brown, K. S.",Brazil,"Benson, W. W.",,,,,,,,,,,,1977,Biotropica,Journal,Evolution in modern Amazonian nonforest islands Heliconius hermathena,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,"flash-disruptive coloration, flash disruptive behavior",no,1,0,no,no,no,no,no,no,no,yes,"Under these circumstances, the red band on the forewing becomes inconspicuous, and the butterfly appears as a broken series of light and dark stripes, easily lost from sight in the similarly light-dark illumination of the undergrowt",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Brown, R.P.",UK,"Thorpe, R.S.",,,,,,,,,,,,1991,Zootaxa,Journal,"Within-island microgeographic variation in the colour pattern of the skink, Chalcides sexlineatus: Pattern and cause",reptiles,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"In northern areas, where some individuals carry the pigment on the whole ventral surface, the function is more likely to be that of anti-predator flash coloration. The pigment would normally remain unseen (being on the underside) but could startle a predator if the skink was captured. Several amphibians show bright belly coloration which they display when under threat of attack (e.g. Bombina)",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Brusquetti, F.",Brazil,"Jansen, M.","Barrio-Amoros, C.","Segalla, M.","Haddad, C. F. B.",,,,,,,,,2014,Zoological Journal of the Linnean Society,Journal,"Taxonomic review of Scinax fuscomarginatus (Lutz, 1925) and related species (Anura; Hylidae)",amphibians,0,,no,0,0,1,UK,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Bushell, M.",UK,"Bragg, P. E.",,,,,,,,,,,,1999,Phasmid Studies,Periodical,A Report on a Culture of Phasma gigas from New Ireland,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,0,no,0,0,0,no,no,0,0,yes,"Females are far more aggressive compared to the males, using their heavily spined legs to cause injury to the attacker, and using their wings in a flash display in order to startle the predator",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Campbell, H. W. ",USA,"Evans, W. E.",,,,,,,,,,,,1972,Herpetologica,Journal,Observations on the Vocal Behavior of Chelonians,reptiles,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"These considerations lead us to suggest that the vocal response to this species subserves a startle or threat function in conjunction with the ""flash"" coloration of the concealed surfaces.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Canseco-Marquez, L.",Mexico,"Smith, E. N.",,,,,,,,,,,,2004,Herpetologica,Journal,"A diminutive species of Eleutherodactylus (Anura: Leptodactylidae), of the alfredi group, from the Sierra Negra of Puebla, Mexico",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Capinera, J. L.",USA,,,,,,,,,,,,,2010,Insects and Wildlife: Arthropods and their relationships with wild vertebrate animals,Book,Flight and startle behavior,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Crypsis or disguise is a primary manner of avoiding predation, but when insects are discovered they sometimes produce a startle, fright or flight response that can serve to allow them to escape predation. A startle response can be achieved by flash coloration, whereby the insect quickly produces a flash of color that was not exposed previously.",no,b,no,no,no,yes,"This is common in moths (Lepidoptera) and grasshoppers (Orthoptera), and may startle the predator long enough to allow the prey to hop or fly away.",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
