PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Krebs, J. R.",UK,,,,,,,,,,,,,1979,Nature,Journal,Bird Colours,birds,0,,no,0,0,1,UK,no,0,1,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"These are colours of otherwise cryptic animals which are exposed suddenly when a predator attacks. The predator is temporarily startled or confused, allowing its potential victim to escape.",t,Baker and Parker 1979,no,no,no,yes,"Nocturnal birds rely on immobility and crypsis to avoid being eaten while they are asleep during the day, but they sometimes have flash colours which are revealed when the resting bird is disturbed",Baker and Parker 1979,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Kuga, T.",Japan,"Seki, M.","Kasuya, E.","Satake, A.",,,,,,,,,,2021,American Naturalist,Journal,An evolutionary game model of sex-dependent antipredator signaling,invertebrates,1,US,no,1,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"The second behavior is flash behavior: if the cryptic prey suddenly shows a conspicuous signal and hides the signal while escaping, the predator may lose the location of the prey",Loeffler-Henry et al. 2018,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lacerda, J. V. A.",Brazil,"Peixoto, O. L.","Feio, R. N",,,,,,,,,,,2012,Zootaxa,Journal,"A new species of the bromeligenous Scinax perpusillus group (Anura; Hylidae) from Serra do Brigadeiro, State of Minas Gerais, Southeastern Brazil",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Langerhans, R. B.",USA,,,,,,,,,,,,,2007,Predation in Organisms  A Distinct Phenomenon,Book Chapter,"Evolutionary consequences of predation: avoidance, escape, reproduction, and diversification",various,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,colour flashes,Edmunds 1974,1,0,yes,"sometimes emit sounds, display bright colors (e.g. color flashes, revealing hidden areas of the body), eyespots, or weapons, and adopt a stereotypic posture (Edmunds 1974).",Edmunds 1974,b,"Efficacy of rapid retreat can also be enhanced by close proximity to a refuge, contrasting coloration, the flashing of colors during the retreat,",Edmunds 1974,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Langerholc, J.",Germany,,,,,,,,,,,,,1991,Italian Journal of Zoology,Journal,Facial mimcry in the animal kingdom,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flashed display,no,1,0,yes,the flashed display is ephemeral in nature,no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Leal, M.",USA,"Rodriguez-Robles, J. A.",,,,,,,,,,,,1997,Animal Behaviour,Journal,"Signalling displays during predator-prey interactions in a Puerto Rican anole, Anolis cristatellus",reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash concealment,no,1,0,yes,"The flash concealment hypothesis proposes that the sudden display exhibition of signalling behaviour followed by the flight of the animal may confuse the predator about the position of the prey, thus causing the predator to abort the attack.",b,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lee, D. S.",USA,,,,,,,,,,,,,1984,American Birds,Periodical,Petrels and storm-petrels in North Carolina's offshore waters: including species previously,birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,1,flash-marks,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Legagneux, P.",France,"Thery, M.","Guillemain, M.","Gomez, D.","Bretagnolle, V.",,,,,,,,,2010,Behavioural Processes,Journal,Condition dependence of iridescent wing flash-marks in two species of dabbling ducks,birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash-marks,"Sorenson and Derrickson 1994, Omland 1996a",0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lehr, E.",Germany,,"Aguilar, C.","von May, R.",,,,,,,,,,2006,Herpetological Monographs,Journal,New species of Eleutherodactylus (Anura: Leptodactylidae) from the eastern Andes of central Peru with comments on central Peruvian Eleutherodactylus,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Leimar, O.",Sweden,"Tullberg, B. S.","Mallet, J.",,,,,,,,,,,2012,The adaptive landscape in evolutionary biology,Book Chapter,"Mimicry, saltational evolution, and the crossing of fitness valleys",general,0,,no,0,0,0,,no,0,0,1,US,Cott 1940; Ruxton et al. 2004,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lenau, T.",Denmark,"Barfoed, M.",,,,,,,,,,,,2008,Advanced Engineering Materials,Journal,Colours and metallic sheen in beetle shells—a biomimetic search for material structuring principles causing light interference,invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lewis, T",UK,,,,,,,,,,,,,2022,PhD Thesis,Thesis,Environmental influences on the population ecology of sixteen anuran amphibians in a seasonally flooded neotropical forest,amphibians,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Llaurens, V.",France,"Le Poul, Y.","Puissant, A.","Blandin, P.","Debat, V.",,,,,,,,,2021,Journal of Evolutionary Biology,Journal,Convergence in sympatry: Evolution of blue-banded wing pattern in Morpho butterflies,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,sporadi flashes,"Murali, 2018",1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Loeffler-Henry, K.",Canada,"Kang, C.","Sherratt, T. N.",,,,,,,,,,,2021,"Proceedings of the Royal Society of London. Series B, Biological Sciences",Journal,The anti-predation benefit of flash displays is related to the distance at which the prey initiates its escape,general,0,,no,0,0,1,US,no,0,1,1,US,no,0,1,1,no,1,0,0,no,0,0,0,no,no,0,0,yes,Flash display is an umbrella term that describes the exposure of bright colors while in motion but not while at rest,Edmunds 2008,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Loeffler-Henry, K.",Canada,"Kang, C.","Sherratt, T. N.",,,,,,,,,,,2019,The American Naturalist,Journal,Consistent associations between body size and hidden contrasting color signals across a range of insect taxa,invertebrates,0,,no,0,0,1,US,(Papageorgis 1975; Endler 1978),0,1,1,US,Bae et al. (2019),0,1,1,(Umbers et al. 2015; Loeffler-Henry et al. 2018),1,0,0,no,0,0,0,no,no,0,0,yes,"However, some animals hide functional color signals and display them only transiently through behavioral displays. These displays are widely employed as a secondary defense following detection when fleeing (flash display) or when stationary (deimatic display).",no,b,"Flash display is an umbrella term that describes the exposure of bright colors while in motion but not while at rest (Edmunds 2008). There are at least four possible functions of flash display, and they are not mutually exclusive: (i) the exposure of bright colors in motion may serve to startle a predator; (ii) the sudden appearance and then disappearance of the bright color in conjunction with a cessation in motion may reduce the probability of the prey being subsequently detected (Loeffler-Henry et al. 2018); (iii) the display enhances the resemblance of the prey to another species that is less profitable to consume or pursue, thereby reducing the motivation of the predator to chase it; and (iv) the dynamically changing flash colors in motion reduce the probability of prey capture because the predator’s eyes cannot readily adjust to differences in brightness between sun flecks and shady patches (Papageorgis 1975; Endler 1978) and/or because of a “flash lag” effect in which estimating the position of a moving colorchanging object becomes harder (Murali 2018). Despite these potential benefits, hidden contrasti",various,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Loeffler-Henry, K. A.",Canada,"Kang, C.","Yip, Y.","Caro, T.","Sherratt, T. N.",,,,,,,,,2018,Behavioral Ecology,Journal,Flash behavior increases prey survival,simulated prey,1,US,"Cott 1940, Edmunds 1974, Edmunds 2008",1,0,1,US,no,0,1,1,US,no,1,0,1,no,1,0,0,no,0,0,1,flashing signal,no,1,0,yes,Flash behavior describes the way in which an otherwise cryptic prey suddenly reveals a conspicuous patch of color or emits noise during movement after disturbance and then hides the patch or ceases to make a sound on stopping,"Cott 1940, Edmunds 1974, Edmunds 2008",b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Loeffler-Henry, K. A.",Canada,,,,,,,,,,,,,2021,PhD Thesis,Thesis,The evolutionary ecology of flash displays and other transiently visible anti-predation signals,various,1,US,no,1,0,0,,no,0,0,0,,no,0,0,1,Edmunds 1974,1,0,0,no,0,0,1,hidden signal,no,1,0,yes,"Flash displays describe the sudden deployment of a hidden signal while fleeing, followed by the synchronized disappearance of the hidden signal and the cessation of movement (Edmunds 1974).",Edmunds 1974,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lourenco, A. C. C.",Brazil,"Lingnau, R","Haddad, C. F. B.","Faivovich, J",,,,,,,,,,2019,South American Journal of Herpetology,Journal,"A New species of the Scinax catharinae group (Anura: Hylidae) from the highlands of Santa Catarina, Brazil",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lourenco, A. C. C.",Brazil,"Nascimento, L. B.","Pires, M. R. S.",,,,,,,,,,,2009,Herpetologica,Journal,"A new species of the Scinax catharinae species group (Anura: Hylidae) from Minas Gerais, southeastern Brazil",amphibians,0,,no,0,0,1,US,Cruz & Peixoto 1982,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lourenco, A. C. C.",Brazil,"Carvalho, A. L. G.","Baeta, D.","Pezzuti, T. L.","Leite, F. S. F.",,,,,,,,,2013,Zootaxa,Journal,"A new species of the Scinax catharinae group (Anura, Hylidae) from Serra da Canastra, southwestern state of Minas Gerais, Brazil",amphibians,0,,no,0,0,1,US,Cruz & Peixoto 1982,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lourenco, A. C. C.",Brazil,"Zina, J.","Catroli, G. F.","Kasahara, S.","Faivovich, J.","Haddad, C. F. B.",,,,,,,,2016,Zootaxa,Journal,A new species of the Scinax catharinae group (Anura: Hylidae) from southeastern Brazil,amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Low, M. L.",Canada,"Naranjo, M.","Yack, J. E.",,,,,,,,,,,2021,Frontiers in Ecology and Evolution,Journal,"Survival Sounds in Insects: Diversity, Function, and Evolution",invertebrates,1,US,no,1,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"For example, flash coloration (a form of flash behavior) can cause a predator to lose track of its original target when a flash of color is revealed while fleeing, then hidden when stopped","Loeffler-Henry et al., 2018; Caro et al., 2020",b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lutz, B.",Brazil,,,,,,,,,,,,,1954,Memorias do Instituto Oswaldo Cruz,Journal,The frogs of the Federal District of Brazil,amphibians,0,,no,0,0,1,UK,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lutz, B.",USA,,,,,,,,,,,,,1966,Copeia,Journal,"Pithecopus ayeaye, a new Brazilian hylid with vertical pupils and grasping feet",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash colored,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lutz, B.",USA,,,,,,,,,,,,,1968,THE PEARCE SELLARDS Series,Journal,Geographic Variation in Brazillian Species of Hyla,amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Lutz, B.",USA,"Bokermann, W. C. A.",,,,,,,,,,,,1963,Copeia,Journal,"A new tree frog from Santa Catarina, Brazil",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Maciel, D. B.",Brazil,"Nunes, I.",,,,,,,,,,,,2010,Zootaxa,Journal,"A new species of four-eyed frog genus Pleurodema Tschudi, 1838 (Anura: Leiuperidae) from the rock meadows of Espinhaço range, Brazil",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Mallet, J.",UK,,,,,,,,,,,,,2010,Ecological Entomology,Journal,Shift happens! Shifting balance and the evolution of diversity in warning colour and mimicry,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Mallet, J.",UK,"Singer, M. C.",,,,,,,,,,,,1987,Journal of Evolutionary Biology,Journal,"Individual selection, kin selection, and the shifting balance in the evolution of warning colours: the evidence from butterflies",invertebrates,0,,no,0,0,0,,no,0,0,1,US,"Cott, 1940; Edmunds, 1974; Sheppard, 1975",1,0,0,no,0,0,0,no,0,0,1,flash coloured,no,0,1,no,no,no,no,no,no,no,yes,"as ‘flash coloration’, to confuse predators-brightly coloured insects may seem to disappear on settling","Cott, 1940; Edmunds, 1974; Sheppard, 1975",b,no,no,no,,,,,,,,,,,,,,,,,,,
"Marchetti, K.",USA,,,,,,,,,,,,,1993,Nature,Journal,Dark habitats and bright birds illustrate the role of the environment in species divergence,birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flashing,no,1,0,yes,"Display movements enhance visibility of the patches: individuals temporarily increase conspicuousness by flashing bright colour patches in display, but are more cryptic when not displaying.",no,b,"First, individuals make themselves temporarily more conspicuous by flashing the bright colour patterns in display, and are less conspicuous when not displaying.",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Mather, K.",UK,,,,,,,,,,,,,1956,"Proceedings of the Royal Society of London. Series B, Biological Sciences",Journal,Polygenic mutation and variation in populations,various,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Matthews, R. W.",USA,"Matthews, J. R.",,,,,,,,,,,,2009,Insect Behaviour,Book,Defense: A Survival Catalogue,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,1,flash markings,no,0,1,no,"One common method of achieving a startle effect is through such flash coloration,the phenomenon in which the prey is cryptic when at rest, but upon being threatened, reveals previously hidden brilliant colors and/or patterns while escaping.",no,b,no,no,no,yes,"Many cryptic insects use flash coloration in reverse, making normal camouflage more effective through sudden contrasts. Thus, for example, many grasshoppers that are colored to match the stony or sandy soil when they settle have hind wings of brilliant red, blue, or yellow. The grasshoppers are highly conspicuous in flight, but they conceal their hind wings so abruptly upon landing that they appear to vanish.",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Mattison, C.",UK,,,,,,,,,,,,,2011,Frogs and Toads of the World,Book,Frogs and Toads of the World,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash markings,no,0,1,no,camouflaged species expose a patch of brightly marked skin as they straighten their legs and leap away,no,t,no,no,no,yes,"These 'flash' markings have evolved to confuse predators in the following way: the resting frog decides that the predator is too close for comfort and leaps, at which point the predator's eye is immediately drawn to the bright marking. At the end of the leap this suddenly disappears as the frog lands and folds its legs again, leaving the predator looking for a 'search image' which no longer exists. ",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Matyot, P.",Republic of Seychelles,,,,,,,,,,,,,2005,Phelsuma,Journal,"The hawkmoths (Lepidoptera: Sphingidae) of Seychelles: identification, historical background, distribution, food plants and ecological considerations",invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"McCallum, M. L.",USA,"Trauth, S. E.","Neal, R. G.",,,,,,,,,,,2006,Herpetological Natural History,Journal,Tail-coiling in ringneck snakes: flash display or decoy?,reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"McDonald, L. T.",UK,"Starkey, T. A.","Vukusic, P.",,,,,,,,,,,2014,International Journal of Design & Nature and Ecodynamics,Journal,Photonic architectures in beetles: Twists and iridescence,invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"many beetles use ‘flash colouration’, whereby the movement between areas of light and dark creates high visual contrast to confuse predators",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"McFarland, D.",Spain,,,,,,,,,,,,,2006,A Dictionary of Animal Behaviour,Book Chapter,Coloration,various,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,remaining camouflaged when motionless and displaying bright colours when moving.,no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"McNaughton, E.",Canada,,,,,,,,,,,,,2022,Thesis,Thesis,Pre and Post Predator Encounter Defensive Traits in a Nearctic Macromoth Community,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"flash coloration: many moth species are camouflaged when resting, but have brightly colored underwings: if they are touched by predators, they will often flash their underwings to startle the predator or, perhaps, warn them that they, too, are toxic (ter Hofstede and Ratcliffe 2016; Kang et al. 2017; Ruxton et al. 2018)",ter Hofstede and Ratcliffe 2016; Kang et al. 2017; Ruxton et al. 2018,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Messenger, C.",USA,,,,,,,,,,,,,1997,Transactions of the Nebraska Academy of Sciences and Affiliated Societies,Journal,The Sphinx Moths (Lepidoptera: Sphingidae) of Nebraska,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Metter, D. E.",USA,,,,,,,,,,,,,1975,Stadler Genetics Symposium,Conference papers,Natural selection and adaptive resemblance,various,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flashes,Davis 1948,1,0,yes,DAVIS (1948) and others feel that flashes of color disrupt a predator long enough to enhance the chances of escape of a prey individual.,Davis 1948,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Moore, D. S.",USA,,,,,,,,,,,,,1997,Thesis,Thesis,Molecular analyses of temperate hylid frogs using the mitochondrial cytochrome b gene,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Motta, A. P.",USA,"Castroviejo-Fisher, S.","Venegas, P. J.","Orrico, V. G. D.","Padial, J. M.",,,,,,,,,2012,Zootaxa,Journal,A new species of the Dendropsophus parviceps group from the western Amazon Basin (Amphibia: Anura: Hylidae),amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Munson, E. S.",USA,,,,,,,,,,,,,1990,The Passenger Pigeon,Periodical,How Birds use Conspicuous Plumage to Elude Predators,birds,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,1,flashy patch,no,0,1,no,no,no,no,no,no,no,yes,Flash coloration can serve as a stimulus for the predator to flee or as an erratic change in appearance that distracts a predator,no,b,"birds, as prey, can quickly alter their appearance into one that is outside the predator's search image. By suddenly displaying bright patches of plumage, birds confront the predator with something unexpected. So, at a key moment during the attack, prey increases its chances of eluding a predator.","Humphries and Driver, 1970",b,,,,,,,,,,,,,,,,,,,
"Murali, G.",India,,,,,,,,,,,,,2018,Animal Behaviour,Journal,"Now you see me, now you don't: dynamic flash coloration as an antipredator strategy in motion",Various,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,yes,"Many animals, for example insects and birds, have the dorsal and ventral sides of their wings coloured differently, causing a dynamic colour change during motion. Although the striking colour patterns of palatable insects (e.g. butterflies) have so far been thought to function as sexual signals, a few anecdotal reports suggest that such differential coloration that changes during flight (‘dynamic flash coloration’) might work as protection against predation.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Murali, G.",India,"Kodandaramaiah, U.",,,,,,,,,,,,2020,Animal Behaviour,Journal,Size and unpredictable movement together affect the effectiveness of dynamic flash coloration,Various,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"Further, some insects have contrasting coloration on their dorsal and ventral surfaces, which is alternately exposed during movement . This may make it hard for predators to detect prey when the latter suddenly ceases movement","Papageorgis, 1975, Loeffler-Henry, Kang, Yip, Caro, & Sherratt, 2018",no,no,no,no,,,,,,,,,,,,,,,,,,,
"Murali, G.",India,"Kumari, K.","Kodandaramaiah, U.",,,,,,,,,,,2018,Nature,Journal,Dynamic colour change and the confusion effect against predation,Various,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Myers, C. W.",USA,,,,,,,,,,,,,1991,American Museum Novitates,Journal,Distribution of the dendrobatid frog Colostethus chocoensis: and description of a related species occurring macrosympatrically,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Myers, C. W.",USA,"Donnelley, M. A.",,,,,,,,,,,,2008,Bulletin American Museum of Natural History,Journal,"The summit herpetofauna of Auyantepui, Venezuela: report from the Robert G. Goelet American Museum–Terramar Expedition",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Myers, C. W.",USA,"Donnelley, M. A.",,,,,,,,,,,,2001,Bulletin American Museum of Natural History,Journal,"Herpetofauna of the Yutajé–Corocoro massif, Venezuela: second report from the Robert G. Goelet American Museum–Terramar expedition to the Northwestern tepuis",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Myers, C. W.",USA,"Grant, T.",,,,,,,,,,,,2009,American Museum Novitates,Journal,"Anomaloglossus confusus, a new Ecuadorian frog formerly masquerading as “Colostethus” chocoensis (Dendrobatoidea: Aromobatidae)",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Myers, C. W.",USA,"Ibanez, R.","Grant, T.","Jaramillo, C. A.",,,,,,,,,,2012,American Museum Novitates,Journal,"Discovery of the frog genus Anomaloglossus in Panama, with descriptions of two new species from the Chagres Highlands (Dendrobatoidea: Aromobatidae)",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,1,flash markings,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Myers, C. W.",USA,"Donnelley, M. A.",,,,,,,,,,,,1996,American Museum Novitates,Journal,"A new herpetofauna from Cerro Yaví, Venezuela: first results of the Robert G. Goelet American Museum-Terramar Expedition to the northwestern tepuis",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,1,no,0,1,1,flash markings,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Negro, J. J.",Spain,"Doña, J.","Blázquez, M. C.","Rodríguez, A.","Herbert-Read, J. E.","De Brooke, L. M.",,,,,,,,2020,Proceedings of the Royal Society of London. Series B-Biological Sciences,Journal,"Contrasting stripes are a widespread feature of group living in birds, mammals and fishes: Stripes in social animals",various,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,dazzle pattern,no,0,1,no,no,no,no,no,no,no,yes,"Others have suggested that such body stripes, when combined in a moving group, may produce ‘dazzle’ patterns that could reduce either the likelihood of predators attacking or their attack success rates","Hogan B, Cuthill IC, Scott-Samuel NE. 2017, Cuthill I. 2019, Stevens M, Yule DH, Ruxton GD. 2008",b,Dazzle patterns may also reduce the ability of a predator to judge the speed and direction of their prey,"Hughes AE, Troscianko J, Stevens M. 2014",b,,,,,,,,,,,,,,,,,,,
"Nelson, M. W.",USA,,,,,,,,,,,,,2010,The Journal of the Lepidopterists' Society,Journal,"Breeding evidence for conspecific status of Grammia phyllira (Drury, 1773) and Grammia oithona (Strecker, 1878)(Erebidae: Arctiinae), with notes on natural history and conservation status",invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"If molested by a potential predator, a moth will raise its forewings to expose the aposematic coloration of its hind wings and abdomen in a “flash” display.",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
